"id","badestellen_id","date","sicht","eco","ente","temp","algen","cb","sicht_txt","eco_txt","ente_txt","temp_txt","algen_txt","cb_txt","bsl","state","wasserqualitaet","wasserqualitaet_txt"
200,344332,"2018-07-09",110,15,15,22.9,0,300,"110","<15","<15","22,9","","<300","B220","gruen",1,1
201,344333,"2018-07-09",90,15,15,22,0,300,"90","<15","<15","22","","<300","B227","gruen",1,1
202,344334,"2018-07-10",160,15,30,21.5,0,300,"160","15","30","21,5","","<300","B920","gelb",3,3
203,344352,"2018-07-10",110,61,15,20.9,0,300,"110","61","<15","20,9","","<300","B922","gruen",1,1
204,344336,"2018-07-10",180,15,15,22.5,0,300,"180","<15","15","22,5","","<300","B926","gruen",1,1
205,344353,"2018-07-10",100,15,15,20.5,0,300,"100","<15","<15","20,5","","<300","B915","gruen",1,1
206,344350,"2018-07-12",100,77,30,20.8,0,910,"100","77","30","20,8","","910","B332","gruen",1,1
207,344340,"2018-07-12",300,161,179,21,0,360,">300","161","179","21","","360","B961","gruen",1,1
208,344338,"2018-07-12",300,412,110,20.5,0,910,">300","412","110","20,5","","910","B962","gruen",1,1
209,344359,"2018-07-12",100,15,15,20.8,0,300,"100","15","<15","20,8","","<300","B330","gruen",1,1
210,344351,"2018-07-12",100,45,368,21,0,360,"100","45","368","21","","360","B329","gruen",1,1
211,344358,"2018-07-12",100,2496,1494,20,0,24000,"100","2496","1494","20","","24000","B331","gelb",3,3
212,344337,"2018-07-13",100,15,15,21.1,0,300,"100","<15","<15","21,1","","<300","B304","gruen",1,1
213,344355,"2018-07-13",50,144,77,21.4,0,360,"50","144","77","21,4","","360","B950","gruen",1,1
214,344356,"2018-07-13",90,15,15,21.3,0,300,"90","15","<15","21,3","","<300","B955","gruen",1,1
215,344345,"2018-07-13",100,15,15,20.7,0,300,"100","<15","15","20,7","","<300","B312","gruen",1,1
216,344349,"2018-07-13",100,15,15,20.2,0,360,"100","15","15","20,2","","360","B313","gruen",1,1
217,344363,"2018-07-13",60,77,61,20.9,0,910,"60","77","61","20,9","","910","B936","gruen",1,1
218,468922,"2018-07-13",120,197,77,21.1,0,110,"120","197","77","21,1","",">110.000","B930","gelb",3,3
219,344360,"2018-07-17",70,15,15,25.2,0,300,"70","<15","<15","25,2","","<300","B334","gruen",1,1
220,344350,"2018-07-17",90,30,15,24.6,0,300,"90","30","<15","24,6","","<300","B332","gruen",1,1
221,344334,"2018-07-17",140,46,15,23.7,0,300,"140","46","15","23,7","","<300","B920","gruen",1,1
222,344362,"2018-07-17",70,15,15,23.1,0,300,"70","<15","<15","23,1","","<300","B333","gruen",1,1
223,344359,"2018-07-17",100,94,15,22.9,0,1500,"100","94","<15","22,9","","1500","B330","gruen",1,1
224,468922,"2018-07-18",110,15,15,23.6,0,2,"110","<15","<15","23,6","","2.300","B930","gruen",1,1
225,344351,"2018-07-17",90,61,15,24.3,0,300,"90","61","<15","24,3","","300","B329","gruen",1,1
